@relation sensorAndMotion

@attribute TYPE_ACCELEROMETER_X numeric
@attribute TYPE_ACCELEROMETER_Y numeric
@attribute TYPE_ACCELEROMETER_Z numeric
@attribute TYPE_MAGNETIC_FIELD_X numeric
@attribute TYPE_MAGNETIC_FIELD_Y numeric
@attribute TYPE_MAGNETIC_FIELD_Z numeric
@attribute TYPE_ROTATION_VECTOR_X numeric
@attribute TYPE_ROTATION_VECTOR_Y numeric
@attribute TYPE_ROTATION_VECTOR_Z numeric
@attribute TYPE_LINEAR_ACCELERATION_X numeric
@attribute TYPE_LINEAR_ACCELERATION_Y numeric
@attribute TYPE_LINEAR_ACCELERATION_Z numeric
@attribute TYPE_GRAVITY_X numeric
@attribute TYPE_GRAVITY_Y numeric
@attribute TYPE_GRAVITY_Z numeric
@attribute position_X numeric
@attribute position_Y numeric
@attribute velocity_X numeric
@attribute velocity_Y numeric
@attribute pressure numeric
@attribute size numeric
@attribute Counter {zero,one,two,three,four}

@data
-3.224976,6.809097,6.50264,39.179993,-28.257751,-28.536987,0.172302,0.372711,0.594894,0.074219,0.044876,0.018555,-3.04541,6.697174,6.484085,1133.3984,744.20056,27.70131,-21.300003,0.5,0.019608,one
-2.908951,6.727692,6.813889,38.389587,-28.901672,-28.007507,0.175995,0.368347,0.595673,-0.221756,0.127335,-0.016907,-3.00322,6.681763,6.519547,1143.1238,738.7523,-152.90138,56.56503,0.5,0.019608,one
-2.712616,6.962326,5.602417,38.539124,-28.475952,-28.35083,0.175613,0.374405,0.592606,0.024536,0.023483,0.285797,-2.933487,6.704208,6.528076,1119.5059,543.6108,-776.75104,-5603.9946,0.5,0.015686,one
-3.751709,6.751648,6.766007,38.150024,-29.153442,-27.764893,0.171341,0.376984,0.591019,0.402069,0.234772,-0.816864,-3.1147,6.727554,6.419296,1137.8341,363.7188,403.38123,-1795.2645,0.5,0.019608,one
-2.908951,6.646301,6.157883,40.2359,-28.868103,-27.442932,0.174225,0.376526,0.589737,-0.64389,0.051773,0.314529,-3.107819,6.69986,6.451462,1145.1563,308.0628,88.10756,-673.08887,0.5,0.019608,one
-2.899368,6.732483,6.44519,39.6286,-28.619385,-29.167175,0.174927,0.37886,0.589508,0.202606,-0.090225,-0.253479,-3.111557,6.736527,6.411362,1142.2703,291.27026,-130.07051,44.97408,0.5,0.015686,one
-3.215408,6.732483,5.923248,39.353943,-29.13208,-28.32489,0.173782,0.380844,0.586823,0.220261,-0.021988,0.056702,-3.119644,6.754486,6.388474,1070.437,262.23566,-1901.9573,-633.3184,0.5,0.015686,one
-3.675095,6.861771,6.205765,41.419983,-28.456116,-28.060913,0.171692,0.383972,0.582977,-0.409393,0.131973,-0.135559,-3.265686,6.729797,6.341339,747.5938,293.31445,-4458.3867,1432.0995,0.5,0.023529,one
-3.325531,6.847412,6.296738,40.64331,-28.309631,-27.394104,0.173096,0.383072,0.58168,-0.074219,0.111023,-0.045029,-3.251312,6.736374,6.341782,586.23505,373.4781,-1355.9711,1156.1692,0.5,0.023529,one
-3.315964,6.689392,6.497849,40.377808,-28.245544,-27.479553,0.172714,0.382431,0.58313,-0.0784,-0.033508,0.134659,-3.237549,6.722916,6.363174,482.578,454.0929,-2037.0931,1869.5118,0.5,0.023529,one
-3.081329,6.81868,6.79953,40.112305,-27.241516,-28.601074,0.172256,0.380722,0.583206,0.16011,0.108185,0.425262,-3.24144,6.710495,6.374252,341.64566,596.45105,-1994.2854,2256.6667,0.5,0.023529,one
-3.502716,6.809097,6.258438,39.926147,-29.125977,-27.981567,0.172699,0.383133,0.582199,-0.236862,0.067474,-0.070328,-3.265839,6.741623,6.328766,293.55716,647.4428,-1246.1254,1444.0387,0.5,0.007843,one
-2.952042,6.785156,6.569687,37.96692,-27.384949,-28.570557,0.177811,0.369461,0.589417,-0.118805,-0.013458,0.037552,-2.991242,6.698074,6.508179,237,1304,0,0,0.475,0.015686,two
-3.114853,6.550522,6.833038,39.286804,-28.530884,-29.682922,0.17691,0.367493,0.590317,-0.013611,0.012405,-0.031723,-2.971939,6.648239,6.567886,296.48846,1256.8905,2241.0444,-1561.1425,0.475,0.015686,two
-2.913742,6.804306,6.449966,38.034058,-27.662659,-28.56903,0.175873,0.365326,0.591538,-0.163101,-0.073318,0.231476,-2.951737,6.623856,6.601547,485.34174,1141.134,5374.468,-2977.863,0.475,0.019608,two
-2.913742,6.737274,6.382935,38.15918,-27.900696,-28.05481,0.176682,0.36615,0.591064,0.050415,0.154724,-0.120148,-2.964157,6.649582,6.570129,854.8832,945.3469,6113.7866,-3168.944,0.475,0.015686,two
-2.908951,6.79953,6.210556,39.100647,-28.118896,-28.909302,0.176834,0.367264,0.591095,0.037247,0.068222,-0.173279,-2.950989,6.669037,6.556213,1106.6597,806.8861,2231.3984,-1387.1345,0.475,0.011765,two
-3.330322,6.708542,6.967117,39.67743,-27.11029,-28.44696,0.173981,0.36824,0.592514,0.075562,0.131973,-0.331894,-2.984512,6.667542,6.54245,1171.8315,770.0842,-277.7147,202.10385,0.475,0.015686,two
-2.477997,6.454758,6.746857,39.61029,-28.071594,-29.438782,0.176529,0.364883,0.593506,-0.365555,0.065384,0.390701,-2.964768,6.643158,6.576416,1181.338,766,-13.198735,32.56094,0.475,0.015686,two
-3.177094,6.924027,5.923248,38.887024,-29.084778,-29.196167,0.17865,0.365067,0.590897,0.430954,-0.20874,0.166245,-2.908951,6.663498,6.580612,1160.2351,597.9548,-748.0578,-5017.47,0.475,0.015686,two
-3.531433,6.856979,6.181824,40.556335,-28.11737,-29.389954,0.17688,0.372131,0.586746,-0.112671,0.228943,-0.553955,-3.064423,6.695084,6.477203,1158,408.0158,378.9941,-2184.2178,0.475,0.019608,two
-3.071747,6.722916,6.473908,40.06195,-29.486084,-28.363037,0.176346,0.371552,0.586639,-0.48288,0.176422,-0.317825,-3.048554,6.680557,6.499649,1162,346.29877,-10.707345,347.2633,0.475,0.019608,two
-2.865845,6.512222,6.315903,39.141846,-28.808594,-29.074097,0.176102,0.369736,0.587341,-0.066132,0.047882,-0.051315,-3.005615,6.675034,6.525238,1162,338.68182,-18.227724,56.84407,0.475,0.015686,two
-3.157944,6.847412,6.512222,38.572693,-28.396606,-28.622437,0.176743,0.371414,0.585892,0.042496,0.070328,-0.192871,-3.04422,6.70137,6.480194,207,1244,0,0,0.2875,0.007843,two
-3.30159,6.517014,6.823471,38.63678,-28.237915,-28.813171,0.175919,0.370758,0.586014,-0.113724,0.146042,0.032013,-3.056641,6.669647,6.506989,207,1244,0.032257,0.197536,0.625,0.019608,two
-3.052597,6.655869,6.574463,38.42621,-27.586365,-28.314209,0.175735,0.369949,0.586395,-0.244949,-0.152618,0.316483,-3.054092,6.668747,6.509079,415.00125,1093.2098,5088.9263,-2913.852,0.625,0.015686,two
-3.2202,6.742065,6.397293,38.61389,-28.022766,-27.005005,0.176071,0.371353,0.585922,0.001495,-0.012863,0.065384,-3.063675,6.684753,6.487976,680.4248,949.5514,6223.169,-3105.8735,0.625,0.015686,two
-2.966415,6.809097,6.263229,39.89563,-28.65448,-28.604126,0.176559,0.37175,0.586685,0.088425,0.113419,-0.217712,-3.05484,6.695679,6.480942,1106.9059,744.12036,1585.0386,-765.9113,0.625,0.011765,two
-3.028656,6.775589,6.354202,38.18817,-28.056335,-28.5141,0.176285,0.37149,0.586884,0.026627,0.088425,-0.135422,-3.055298,6.687149,6.489624,1149.127,722.6244,-15.724142,-23.51121,0.625,0.015686,two
-3.129211,6.785156,6.378143,39.501953,-28.956604,-28.451538,0.177002,0.37146,0.587647,-0.088577,0.092468,-0.112671,-3.040634,6.692688,6.49083,1158.615,715.77,-113.56114,6.079356,0.625,0.015686,two
-2.980774,6.742065,6.315903,39.967346,-28.68042,-29.53186,0.174789,0.374069,0.587845,0.071213,0.0401,-0.159958,-3.052002,6.701965,6.475861,1146.9404,596.8679,-395.3912,-3008.1575,0.625,0.011765,two
-3.354263,6.732483,6.421234,40.03601,-28.067017,-28.881836,0.173889,0.372314,0.587647,0.115067,0.06105,-0.160858,-3.095841,6.681015,6.476761,1164.4817,380.7754,449.59512,-2270.298,0.625,0.019608,two
-3.205826,6.81868,6.315903,38.612366,-27.293396,-27.94342,0.175034,0.372665,0.587769,-0.275177,0.057449,-0.069717,-3.079086,6.675034,6.490967,1164.235,325.35248,-153.64958,157.75925,0.625,0.019608,two
-2.736572,6.540955,6.459549,40.234375,-28.504944,-28.677368,0.176514,0.371964,0.587036,-0.148438,0.125687,-0.166687,-3.057388,6.692978,6.48259,1128.8175,312.80292,-1035.1484,-93.89789,0.625,0.019608,two
-3.30159,6.828262,6.196182,38.35907,-29.35028,-28.559875,0.174164,0.375626,0.585342,-0.042786,-0.002533,0.026779,-3.153458,6.69194,6.437546,782.90356,327.3512,-4325.0405,620.4499,0.625,0.019608,two
-2.937683,6.627136,6.560104,39.6286,-29.299927,-28.181458,0.173904,0.375534,0.583542,-0.145294,0.148727,-0.252884,-3.156296,6.67952,6.449081,610.39185,376.8321,-1908.3735,944.31226,0.625,0.019608,two
-3.354263,6.780365,6.339844,40.08789,-28.419495,-27.929688,0.174011,0.375824,0.583984,0.21817,-0.062988,0.121948,-3.155853,6.69014,6.438156,464.06036,455.0067,-3097.6768,1934.107,0.625,0.019608,two
-3.090912,6.536163,6.397293,41.441345,-28.797913,-27.45514,0.174652,0.376236,0.582504,-0.174774,0.075104,-0.071075,-3.179489,6.705246,6.410919,299.0474,584.9526,-2203.9548,2123.0464,0.625,0.019608,two
-3.790009,7.034164,5.889725,40.174866,-29.04358,-27.66571,0.175461,0.383347,0.576782,0.160248,-0.19751,0.052521,-3.251175,6.733688,6.344772,236,644.5,-1818.6544,1958.2261,0.2625,0.007843,two
-3.153153,6.708542,6.50264,38.406372,-28.259277,-28.675842,0.178177,0.371201,0.584579,-0.09816,0.012863,0.021683,-3.054993,6.695679,6.480942,226,1209,0,0,0.4,0.011765,three
-3.009506,6.885712,6.358994,39.494324,-28.649902,-29.393005,0.176468,0.370041,0.585785,-0.115219,0.01944,0.006729,-3.037933,6.689087,6.495911,226,1209,-0.003787,-0.015148,0.6875,0.015686,three
-2.923309,6.684601,6.766007,37.73651,-27.366638,-28.93982,0.176147,0.369644,0.585922,0.033966,0.222656,-0.160858,-3.043472,6.663055,6.519852,330.74765,1135.7306,2975.6064,-1870.2278,0.6875,0.019608,three
-3.215408,6.689392,6.459549,39.35547,-27.926636,-28.987122,0.176575,0.370255,0.585327,0.130631,0.015549,0.257065,-3.05394,6.669037,6.508926,637.21936,975.1593,6053.8496,-2957.343,0.6875,0.015686,three
-3.181885,6.756424,6.291962,38.841248,-27.580261,-28.378296,0.177734,0.369934,0.585602,-0.172379,0.013306,-0.047272,-3.04303,6.676071,6.506836,959.6705,826.00745,4327.243,-1932.4677,0.6875,0.015686,three
-2.918518,6.823471,6.335053,39.839172,-28.573608,-27.407837,0.176376,0.370544,0.586594,-0.157715,0.067322,-0.210236,-3.02417,6.689087,6.502197,1088.2443,757.3778,1616.2915,-1107.3031,0.6875,0.015686,three
-3.268082,6.703751,6.727692,39.083862,-28.93219,-28.656006,0.175446,0.369186,0.587982,0.136017,0.1604,-0.179703,-3.05455,6.663055,6.514771,1133.875,738,-226.34729,152.63846,0.6875,0.015686,three
-2.583344,6.646301,6.531372,39.579773,-28.479004,-29.499817,0.177094,0.368698,0.588318,-0.268448,0.036209,0.192123,-2.999634,6.667542,6.535568,1141.1095,722.2333,83.63503,-399.2008,0.6875,0.015686,three
-3.651154,6.636719,6.397293,40.17639,-28.352356,-29.219055,0.172928,0.374023,0.586716,0.456833,-0.035461,0.029022,-3.040176,6.681763,6.50235,1161.7423,556.9816,444.5382,-3454.6353,0.6875,0.023529,three
-2.980774,6.488281,6.473908,40.46173,-28.126526,-26.80664,0.174393,0.371658,0.584579,0.117462,-0.194366,0.000137,-3.098236,6.682663,6.47377,1172.2302,317.72662,-175.18246,-3370.9102,0.6875,0.023529,three
-3.095688,7.000641,5.707764,39.796448,-27.375793,-28.269958,0.175858,0.375946,0.583771,0.06134,0.28595,-0.70433,-3.157044,6.714676,6.412109,1151.4764,270.58118,-634.6418,205.88391,0.6875,0.015686,three
-2.932892,6.46434,6.986267,39.978027,-28.121948,-28.465271,0.172882,0.378204,0.585083,0.27623,-0.232086,0.580887,-3.209122,6.696426,6.40538,1014.88696,272.27655,-3361.0476,440.71405,0.6875,0.015686,three
-3.325531,6.775589,6.564896,39.6286,-29.389954,-27.851868,0.172043,0.380936,0.581223,-0.033661,0.058502,0.223557,-3.29187,6.717072,6.341339,654.8386,361.97455,-6210.81,1937.4352,0.6875,0.015686,three
-3.57933,7.077255,5.736496,41.60614,-28.327942,-28.253174,0.174149,0.386139,0.575348,-0.225342,0.316483,-0.525375,-3.353973,6.760773,6.261871,272.46704,613.2316,-3416.8406,3619.5942,0.6875,0.015686,three
-3.541016,6.919235,6.311112,40.478516,-28.868103,-27.2583,0.175064,0.389023,0.571716,-0.130631,0.144547,0.094864,-3.410385,6.774689,6.216232,192.85847,702.1769,-444.76376,1084.077,0.6875,0.015686,three
-3.713394,6.938385,6.124359,40.672302,-28.205872,-27.48413,0.174042,0.390976,0.572662,-0.158752,0.147827,0.075851,-3.382248,6.771393,6.235245,189,707,-347.2149,992.90955,0.3125,0.011765,three
-3.138794,6.751648,6.435608,39.213562,-28.948975,-28.730774,0.175415,0.374207,0.585342,0.236725,-0.175812,0.376633,-3.107666,6.709885,6.441147,167,1173,0,0,0.6125,0.015686,four
-3.047806,6.28717,7.000641,39.170837,-27.511597,-27.986145,0.17186,0.369919,0.587906,0.069122,0.748779,-0.450851,-3.088211,6.644501,6.517761,218.5384,1144.7981,2121.6516,-745.85895,0.6125,0.015686,four
-3.201035,6.789948,6.105209,40.333557,-27.601624,-27.934265,0.173492,0.37088,0.586288,0.0392,-0.330841,0.455338,-3.087021,6.618012,6.545288,399.72986,1080.7567,5232.7534,-1758.5724,0.6125,0.023529,four
-3.26329,6.842621,6.526581,38.796997,-27.52533,-28.955078,0.174469,0.371643,0.586075,-0.104446,0.131378,-0.394287,-3.096588,6.658569,6.499497,794.1728,935.2527,6685.3296,-2559.052,0.6125,0.011765,four
-2.813187,6.627136,6.349411,38.4964,-28.489685,-29.414368,0.17688,0.369385,0.586029,0.227585,-0.042343,-0.165192,-3.040772,6.669495,6.514618,1148.7361,758.13196,1026.7561,-659.1487,0.6125,0.015686,four
-3.148361,6.766007,6.411667,39.567566,-28.59497,-29.31366,0.1763,0.369476,0.586334,-0.117004,0.094116,-0.104889,-3.031357,6.67189,6.516556,1189.0594,725.901,47.695827,-348.3543,0.6125,0.007843,four
-3.057388,6.866562,6.435608,39.12506,-29.089355,-29.425049,0.176788,0.369736,0.586136,-0.009872,0.185699,-0.064194,-3.047516,6.680862,6.499802,1164.5388,643.3729,-1157.7522,-2141.956,0.6125,0.015686,four
-3.157944,6.698975,6.349411,40.05432,-29.351807,-29.281616,0.175659,0.372711,0.586182,-0.053558,0.022141,-0.12764,-3.10437,6.676819,6.477051,1144,530.14044,-326.63092,-2493.71,0.6125,0.015686,four
-3.368637,6.627136,6.828262,39.189148,-27.278137,-26.786804,0.170776,0.374512,0.588104,-0.216965,-0.017502,0.340866,-3.151657,6.644653,6.487381,1141.9741,378.9225,-269.66852,-493.63824,0.6125,0.015686,four
-2.817963,6.675034,6.382935,39.42566,-28.242493,-28.996277,0.171143,0.376938,0.587357,-0.227737,-0.038147,0.356873,-3.140884,6.665299,6.471375,1057.0916,329.2622,-2197.2703,-781.3276,0.6125,0.019608,four
-3.330322,6.703751,6.244064,39.572144,-27.912903,-28.874207,0.170364,0.379456,0.586227,0.379776,-0.011368,-0.038452,-3.197754,6.686401,6.421387,932.74286,314,-2904.7644,-42.382896,0.6125,0.023529,four
-3.114853,6.775589,6.46434,39.797974,-27.799988,-28.149414,0.171356,0.379639,0.583267,-0.111923,0.025726,-0.175812,-3.218399,6.678024,6.419891,706.8804,365.04858,-4198.695,1506.3105,0.6125,0.019608,four
-3.545807,7.058106,5.956772,39.863586,-28.955078,-28.366089,0.172974,0.381363,0.580536,0.130478,0.072113,0.084686,-3.245331,6.703461,6.379639,353.5761,590.0352,-3868.0366,3489.5842,0.6125,0.015686,four
-3.392578,6.804306,6.382935,40.016174,-28.259277,-28.76587,0.172485,0.381561,0.580902,-0.286255,0.343109,-0.403412,-3.259552,6.714981,6.360184,241.63454,698.3655,-1250.6201,1725.9196,0.6125,0.023529,four
-3.349487,6.631928,6.263229,40.019226,-29.01001,-28.909302,0.172714,0.382187,0.580292,-0.128983,0.092621,0.02124,-3.263596,6.711685,6.361679,205.5,742.5,-86.056496,346.98898,0.6125,0.007843,four
